ComplaintID,DateOpened,DateClosed,Product,Channel,Region,CustomerSegment,IssueType,Severity,Status,IsRepeat,IsSLA_Breached,ResolutionTimeHours,AgentName
51,2023-02-20,2023-02-22,Mortgage,Phone,West,Business,Card Blocked,Medium,Escalated,No,No,44,Amit
52,2023-02-21,2023-02-23,Mortgage,Branch,Central,Business,Service Failure,High,Resolved,No,No,13,David
53,2023-02-22,2023-02-24,Mortgage,Branch,North,Retail,Delay,High,Resolved,No,Yes,41,Amit
54,2023-02-23,2023-02-25,Insurance,Email,North,Premier,Incorrect Charges,Low,Escalated,No,No,119,Karan
55,2023-02-24,2023-02-26,Loan,Email,Central,Retail,Delay,Low,In Progress,No,No,21,Sara
56,2023-02-25,2023-02-27,Savings,Email,East,Retail,Incorrect Charges,High,Escalated,No,No,167,Amit
57,2023-02-26,2023-02-28,Mortgage,Phone,South,Business,Incorrect Charges,Medium,In Progress,No,No,132,Amit
58,2023-02-27,2023-03-01,Credit Card,Email,West,Retail,Delay,Medium,Open,No,No,157,Amit
59,2023-02-28,2023-03-02,Mortgage,Web Chat,South,Business,Info Mismatch,Low,Open,No,No,185,Komal
60,2023-03-01,2023-03-03,Credit Card,Mobile App,Central,Premier,Incorrect Charges,Low,Escalated,No,No,91,Karan
61,2023-03-02,2023-03-04,Credit Card,Web Chat,North,Business,Delay,High,Escalated,No,No,95,Komal
62,2023-03-03,2023-03-05,Mortgage,Web Chat,North,Retail,Incorrect Charges,Low,Open,No,No,14,Sara
63,2023-03-04,2023-03-06,Insurance,Email,West,Retail,Login Issue,High,In Progress,No,No,67,Amit
64,2023-03-05,2023-03-07,Credit Card,Mobile App,North,Business,Info Mismatch,Medium,Open,Yes,No,38,Karan
65,2023-03-06,2023-03-08,Credit Card,Mobile App,North,Business,Service Failure,Medium,Escalated,No,No,178,Karan
66,2023-03-07,2023-03-09,Mortgage,Mobile App,West,Retail,Incorrect Charges,High,Open,No,Yes,67,Riya
67,2023-03-08,2023-03-10,Credit Card,Phone,West,Premier,Login Issue,Low,Escalated,No,No,37,Sara
68,2023-03-09,2023-03-11,Credit Card,Email,Central,Premier,Service Failure,Medium,Escalated,No,Yes,183,Karan
69,2023-03-10,2023-03-12,Mortgage,Mobile App,North,Business,Service Failure,Low,Open,Yes,No,27,Amit
70,2023-03-11,2023-03-13,Mortgage,Phone,North,Premier,Incorrect Charges,Medium,In Progress,No,No,76,Amit
71,2023-03-12,2023-03-14,Savings,Branch,Central,Retail,Delay,High,Resolved,No,No,109,Karan
72,2023-03-13,2023-03-15,Insurance,Branch,East,Business,Incorrect Charges,High,Open,No,No,169,Komal
73,2023-03-14,2023-03-16,Insurance,Phone,East,Retail,Login Issue,High,Resolved,No,No,44,Sara
74,2023-03-15,2023-03-17,Credit Card,Phone,East,Retail,Service Failure,Medium,Open,No,No,151,Amit
75,2023-03-16,2023-03-18,Insurance,Email,Central,Premier,Incorrect Charges,Low,Resolved,Yes,No,149,Karan
76,2023-03-17,2023-03-19,Credit Card,Email,North,Business,Delay,Low,In Progress,No,No,9,Amit
77,2023-03-18,2023-03-20,Savings,Branch,Central,Business,Incorrect Charges,Low,In Progress,No,Yes,30,Karan
78,2023-03-19,2023-03-21,Mortgage,Mobile App,Central,Premier,Info Mismatch,Medium,Open,No,No,41,Sara
79,2023-03-20,2023-03-22,Mortgage,Branch,East,Retail,Delay,Medium,Escalated,No,No,159,Karan
80,2023-03-21,2023-03-23,Mortgage,Mobile App,South,Retail,Login Issue,Medium,Resolved,Yes,No,129,Riya
81,2023-03-22,2023-03-24,Insurance,Mobile App,North,Retail,Service Failure,Medium,Escalated,No,No,85,Karan
82,2023-03-23,2023-03-25,Savings,Email,East,Retail,Incorrect Charges,Medium,Escalated,No,No,117,Karan
83,2023-03-24,2023-03-26,Insurance,Web Chat,South,Business,Delay,Low,Escalated,No,Yes,184,Sara
84,2023-03-25,2023-03-27,Insurance,Web Chat,South,Business,Info Mismatch,Medium,In Progress,No,No,145,Karan
85,2023-03-26,2023-03-28,Savings,Phone,West,Premier,Delay,Medium,Open,No,No,175,Sara
86,2023-03-27,2023-03-29,Savings,Email,North,Premier,Card Blocked,Low,Open,No,No,63,Riya
87,2023-03-28,2023-03-30,Savings,Mobile App,South,Business,Info Mismatch,Medium,In Progress,Yes,No,8,Sara
88,2023-03-29,2023-03-31,Savings,Web Chat,East,Business,Login Issue,Low,In Progress,No,No,46,Amit
89,2023-03-30,2023-04-01,Mortgage,Mobile App,West,Retail,Service Failure,Low,Open,No,No,188,Sara
90,2023-03-31,2023-04-02,Loan,Web Chat,North,Retail,Login Issue,High,Escalated,No,No,185,Riya
91,2023-04-01,2023-04-03,Loan,Web Chat,Central,Premier,Incorrect Charges,High,Resolved,No,No,177,David
92,2023-04-02,2023-04-04,Savings,Web Chat,East,Business,Delay,High,Resolved,Yes,Yes,156,Karan
93,2023-04-03,2023-04-05,Loan,Email,South,Premier,Card Blocked,High,Resolved,No,No,182,Sara
94,2023-04-04,2023-04-06,Loan,Branch,South,Business,Info Mismatch,Medium,Escalated,No,No,89,Karan
95,2023-04-05,2023-04-07,Savings,Mobile App,East,Retail,Info Mismatch,High,Open,No,No,74,Komal
96,2023-04-06,2023-04-08,Loan,Email,South,Premier,Delay,Low,In Progress,Yes,No,164,Amit
97,2023-04-07,2023-04-09,Insurance,Email,West,Premier,Card Blocked,Medium,Open,No,Yes,180,Amit
98,2023-04-08,2023-04-10,Credit Card,Email,North,Business,Delay,High,Escalated,No,No,38,Komal
99,2023-04-09,2023-04-11,Credit Card,Email,West,Retail,Incorrect Charges,Low,In Progress,No,No,120,Komal
100,2023-04-10,2023-04-12,Savings,Email,South,Premier,Login Issue,Medium,Escalated,No,No,58,Sara
101,2023-04-11,2023-04-13,Mortgage,Phone,Central,Retail,Info Mismatch,Medium,Resolved,No,Yes,9,Komal
102,2023-04-12,2023-04-14,Savings,Mobile App,North,Premier,Incorrect Charges,High,Resolved,No,No,96,David
103,2023-04-13,2023-04-15,Mortgage,Email,North,Retail,Login Issue,Medium,Escalated,Yes,No,118,Karan
104,2023-04-14,2023-04-16,Credit Card,Mobile App,East,Business,Incorrect Charges,Low,In Progress,No,No,111,Karan
105,2023-04-15,2023-04-17,Savings,Phone,East,Premier,Card Blocked,Medium,In Progress,Yes,No,21,Riya
106,2023-04-16,2023-04-18,Insurance,Phone,Central,Premier,Info Mismatch,Low,Open,No,No,125,Komal
107,2023-04-17,2023-04-19,Loan,Mobile App,North,Retail,Delay,Medium,Resolved,No,No,54,Komal
108,2023-04-18,2023-04-20,Mortgage,Web Chat,Central,Retail,Delay,High,Open,Yes,No,120,David
109,2023-04-19,2023-04-21,Loan,Branch,East,Premier,Login Issue,Low,Open,No,No,13,Amit
110,2023-04-20,2023-04-22,Loan,Web Chat,East,Business,Service Failure,Medium,Escalated,Yes,No,178,Amit
111,2023-04-21,2023-04-23,Savings,Web Chat,North,Retail,Card Blocked,Medium,Escalated,No,No,18,Karan
112,2023-04-22,2023-04-24,Loan,Web Chat,West,Retail,Login Issue,Medium,Open,No,No,65,Karan
113,2023-04-23,2023-04-25,Insurance,Email,South,Retail,Service Failure,Low,Resolved,Yes,No,43,Sara
114,2023-04-24,2023-04-26,Loan,Phone,East,Premier,Incorrect Charges,Low,Escalated,No,No,95,David
115,2023-04-25,2023-04-27,Savings,Web Chat,East,Premier,Card Blocked,Low,Open,No,No,158,Riya
116,2023-04-26,2023-04-28,Insurance,Phone,West,Premier,Incorrect Charges,High,Open,No,Yes,148,Riya
117,2023-04-27,2023-04-29,Credit Card,Mobile App,West,Premier,Info Mismatch,High,Open,Yes,Yes,12,David
118,2023-04-28,2023-04-30,Loan,Branch,Central,Business,Card Blocked,Low,Open,No,No,99,Riya
119,2023-04-29,2023-05-01,Savings,Mobile App,Central,Business,Service Failure,Medium,Open,No,No,179,Amit
120,2023-04-30,2023-05-02,Credit Card,Mobile App,South,Premier,Info Mismatch,High,Open,No,Yes,72,Riya
121,2023-05-01,2023-05-03,Credit Card,Email,South,Business,Delay,Low,Escalated,Yes,No,109,Riya
122,2023-05-02,2023-05-04,Mortgage,Branch,North,Retail,Service Failure,Medium,Resolved,Yes,No,59,David
123,2023-05-03,2023-05-05,Insurance,Mobile App,Central,Retail,Login Issue,High,Open,No,No,35,David
124,2023-05-04,2023-05-06,Loan,Mobile App,East,Retail,Delay,Medium,In Progress,No,No,21,Riya
125,2023-05-05,2023-05-07,Savings,Branch,Central,Premier,Delay,Medium,Escalated,No,Yes,51,Komal
126,2023-05-06,2023-05-08,Mortgage,Branch,East,Retail,Login Issue,Medium,Escalated,No,No,103,David
127,2023-05-07,2023-05-09,Insurance,Mobile App,West,Business,Card Blocked,Medium,Open,No,No,139,Sara
128,2023-05-08,2023-05-10,Mortgage,Branch,Central,Premier,Delay,High,Escalated,No,No,161,Sara
129,2023-05-09,2023-05-11,Insurance,Mobile App,West,Business,Service Failure,High,Open,No,No,53,Amit
130,2023-05-10,2023-05-12,Insurance,Mobile App,South,Retail,Info Mismatch,High,Resolved,No,No,16,Riya
131,2023-05-11,2023-05-13,Loan,Email,South,Retail,Delay,Low,Resolved,No,No,85,Komal
132,2023-05-12,2023-05-14,Insurance,Web Chat,North,Retail,Service Failure,High,Escalated,No,No,132,Amit
133,2023-05-13,2023-05-15,Mortgage,Mobile App,Central,Premier,Incorrect Charges,Medium,Escalated,No,No,38,Riya
134,2023-05-14,2023-05-16,Insurance,Phone,West,Business,Service Failure,High,In Progress,No,No,127,David
135,2023-05-15,2023-05-17,Loan,Web Chat,East,Premier,Info Mismatch,Medium,Escalated,No,No,41,Sara
136,2023-05-16,2023-05-18,Loan,Web Chat,South,Premier,Service Failure,Low,In Progress,No,Yes,73,Karan
137,2023-05-17,2023-05-19,Mortgage,Web Chat,South,Retail,Login Issue,Medium,Resolved,No,No,41,Komal
138,2023-05-18,2023-05-20,Credit Card,Email,East,Premier,Info Mismatch,Medium,Resolved,No,No,57,Karan
139,2023-05-19,2023-05-21,Credit Card,Mobile App,West,Premier,Card Blocked,Medium,Open,Yes,No,152,Sara
140,2023-05-20,2023-05-22,Insurance,Email,West,Retail,Incorrect Charges,Low,Resolved,No,No,105,Karan
141,2023-05-21,2023-05-23,Savings,Mobile App,Central,Premier,Login Issue,High,In Progress,No,No,140,David
142,2023-05-22,2023-05-24,Insurance,Email,Central,Retail,Card Blocked,High,Escalated,No,No,111,Riya
143,2023-05-23,2023-05-25,Mortgage,Email,North,Retail,Service Failure,Low,Open,No,No,193,David
144,2023-05-24,2023-05-26,Mortgage,Phone,South,Retail,Info Mismatch,Medium,In Progress,No,No,137,Karan
145,2023-05-25,2023-05-27,Mortgage,Email,Central,Retail,Incorrect Charges,High,Escalated,Yes,No,94,David
146,2023-05-26,2023-05-28,Mortgage,Branch,West,Premier,Login Issue,Low,Open,No,Yes,95,Sara
147,2023-05-27,2023-05-29,Mortgage,Phone,East,Retail,Card Blocked,High,Resolved,No,No,57,Komal
148,2023-05-28,2023-05-30,Loan,Email,West,Retail,Card Blocked,Low,In Progress,No,No,61,David
149,2023-05-29,2023-05-31,Credit Card,Web Chat,South,Premier,Incorrect Charges,Medium,Escalated,No,No,139,Sara
150,2023-05-30,2023-06-01,Mortgage,Branch,West,Premier,Service Failure,High,Open,No,No,40,Komal
151,2023-05-31,2023-06-02,Savings,Branch,North,Business,Incorrect Charges,Low,Open,No,No,29,Riya
152,2023-06-01,2023-06-03,Savings,Branch,South,Premier,Card Blocked,High,Resolved,No,No,50,Karan
153,2023-06-02,2023-06-04,Savings,Phone,East,Premier,Delay,High,Escalated,Yes,No,165,Riya
154,2023-06-03,2023-06-05,Savings,Email,North,Business,Login Issue,High,Resolved,No,No,126,Amit
155,2023-06-04,2023-06-06,Loan,Email,South,Premier,Incorrect Charges,High,Resolved,No,No,14,Sara
156,2023-06-05,2023-06-07,Savings,Web Chat,East,Premier,Card Blocked,Low,Escalated,No,Yes,37,Komal
157,2023-06-06,2023-06-08,Mortgage,Web Chat,North,Premier,Service Failure,Medium,Escalated,No,Yes,102,David
158,2023-06-07,2023-06-09,Insurance,Branch,North,Premier,Card Blocked,Low,Escalated,Yes,No,27,Riya
159,2023-06-08,2023-06-10,Savings,Web Chat,South,Business,Service Failure,Low,In Progress,No,Yes,87,Komal
160,2023-06-09,2023-06-11,Loan,Phone,Central,Premier,Incorrect Charges,Low,Escalated,Yes,No,5,Sara
161,2023-06-10,2023-06-12,Loan,Email,North,Premier,Service Failure,Medium,Open,No,No,83,Amit
162,2023-06-11,2023-06-13,Savings,Branch,North,Business,Info Mismatch,High,Resolved,No,No,193,Riya
163,2023-06-12,2023-06-14,Insurance,Web Chat,East,Retail,Info Mismatch,High,In Progress,Yes,No,167,Karan
164,2023-06-13,2023-06-15,Savings,Phone,West,Business,Info Mismatch,High,Escalated,No,No,128,Komal
165,2023-06-14,2023-06-16,Loan,Phone,South,Retail,Delay,Medium,In Progress,Yes,No,89,Karan
166,2023-06-15,2023-06-17,Credit Card,Web Chat,South,Business,Incorrect Charges,High,Escalated,No,Yes,128,Komal
167,2023-06-16,2023-06-18,Mortgage,Email,Central,Business,Card Blocked,Medium,In Progress,No,No,121,Komal
168,2023-06-17,2023-06-19,Loan,Web Chat,Central,Premier,Card Blocked,High,Resolved,Yes,No,23,Sara
169,2023-06-18,2023-06-20,Savings,Branch,South,Retail,Delay,High,Resolved,No,No,131,Sara
170,2023-06-19,2023-06-21,Mortgage,Web Chat,Central,Premier,Service Failure,Low,Open,Yes,No,32,Sara
171,2023-06-20,2023-06-22,Savings,Phone,East,Retail,Delay,Medium,Open,No,No,120,David
172,2023-06-21,2023-06-23,Savings,Web Chat,South,Business,Service Failure,Low,Escalated,No,Yes,12,Komal
173,2023-06-22,2023-06-24,Credit Card,Email,Central,Business,Service Failure,Low,Resolved,No,No,47,Riya
174,2023-06-23,2023-06-25,Mortgage,Mobile App,South,Retail,Login Issue,Low,In Progress,Yes,No,97,Karan
175,2023-06-24,2023-06-26,Mortgage,Web Chat,West,Premier,Card Blocked,Medium,In Progress,No,No,191,Sara
176,2023-06-25,2023-06-27,Credit Card,Email,North,Premier,Info Mismatch,Medium,In Progress,No,Yes,198,Sara
177,2023-06-26,2023-06-28,Loan,Email,South,Premier,Service Failure,High,Open,No,No,193,Karan
178,2023-06-27,2023-06-29,Savings,Phone,North,Premier,Login Issue,Low,In Progress,No,No,11,Karan
179,2023-06-28,2023-06-30,Insurance,Email,Central,Business,Card Blocked,High,Open,No,No,169,Komal
180,2023-06-29,2023-07-01,Savings,Email,North,Business,Info Mismatch,Low,Open,No,No,129,Sara
181,2023-06-30,2023-07-02,Savings,Email,South,Business,Service Failure,Medium,Escalated,No,Yes,153,Karan
182,2023-07-01,2023-07-03,Loan,Email,West,Business,Service Failure,Medium,In Progress,No,No,100,David
183,2023-07-02,2023-07-04,Savings,Branch,Central,Business,Delay,Medium,In Progress,No,No,173,David
184,2023-07-03,2023-07-05,Credit Card,Branch,South,Premier,Delay,Low,Resolved,No,No,113,Sara
185,2023-07-04,2023-07-06,Credit Card,Phone,Central,Premier,Card Blocked,Medium,Escalated,Yes,No,61,Karan
186,2023-07-05,2023-07-07,Mortgage,Web Chat,East,Premier,Info Mismatch,Low,Resolved,No,Yes,191,Komal
187,2023-07-06,2023-07-08,Insurance,Email,North,Premier,Service Failure,High,Escalated,No,No,88,Komal
188,2023-07-07,2023-07-09,Savings,Web Chat,East,Business,Card Blocked,Low,In Progress,No,No,146,Komal
189,2023-07-08,2023-07-10,Savings,Web Chat,South,Business,Card Blocked,High,Open,No,No,66,Amit
190,2023-07-09,2023-07-11,Loan,Phone,West,Business,Incorrect Charges,Low,Open,No,No,58,Sara
191,2023-07-10,2023-07-12,Credit Card,Email,Central,Retail,Delay,High,Open,Yes,No,184,Komal
192,2023-07-11,2023-07-13,Insurance,Email,North,Premier,Info Mismatch,Medium,Open,Yes,No,107,David
193,2023-07-12,2023-07-14,Mortgage,Mobile App,Central,Premier,Service Failure,High,Open,No,No,182,Karan
194,2023-07-13,2023-07-15,Credit Card,Web Chat,South,Business,Card Blocked,Medium,Resolved,No,No,185,Riya
195,2023-07-14,2023-07-16,Mortgage,Web Chat,Central,Premier,Service Failure,Medium,Escalated,No,No,10,Riya
196,2023-07-15,2023-07-17,Loan,Branch,North,Premier,Incorrect Charges,High,In Progress,No,No,23,Komal
197,2023-07-16,2023-07-18,Loan,Mobile App,South,Business,Info Mismatch,Low,Resolved,No,No,142,Riya
198,2023-07-17,2023-07-19,Savings,Branch,Central,Retail,Card Blocked,Low,Escalated,No,Yes,90,Riya
199,2023-07-18,2023-07-20,Insurance,Branch,West,Retail,Service Failure,Low,Open,No,No,177,Amit
200,2023-07-19,2023-07-21,Mortgage,Branch,South,Retail,Delay,Low,Escalated,Yes,No,19,David
201,2023-07-20,2023-07-22,Credit Card,Phone,South,Business,Incorrect Charges,Low,Escalated,No,No,116,David
202,2023-07-21,2023-07-23,Loan,Phone,West,Premier,Info Mismatch,Medium,Open,No,No,169,Amit
203,2023-07-22,2023-07-24,Savings,Branch,East,Business,Incorrect Charges,Low,Open,Yes,No,146,Amit
204,2023-07-23,2023-07-25,Savings,Mobile App,North,Business,Delay,Medium,Open,No,No,144,Riya
205,2023-07-24,2023-07-26,Mortgage,Web Chat,East,Premier,Info Mismatch,Medium,In Progress,No,No,107,Sara
206,2023-07-25,2023-07-27,Loan,Mobile App,Central,Retail,Incorrect Charges,Medium,Open,No,No,16,Karan
207,2023-07-26,2023-07-28,Insurance,Email,West,Retail,Login Issue,High,In Progress,No,No,64,Karan
208,2023-07-27,2023-07-29,Loan,Phone,East,Business,Delay,High,Open,No,No,168,Riya
209,2023-07-28,2023-07-30,Mortgage,Web Chat,South,Retail,Delay,Medium,In Progress,No,No,14,Karan
210,2023-07-29,2023-07-31,Mortgage,Web Chat,Central,Business,Delay,High,Escalated,No,No,82,Amit
211,2023-07-30,2023-08-01,Loan,Email,Central,Business,Login Issue,Low,Resolved,No,No,33,David
212,2023-07-31,2023-08-02,Mortgage,Email,East,Premier,Login Issue,Low,Escalated,Yes,No,138,Karan
213,2023-08-01,2023-08-03,Loan,Branch,East,Premier,Service Failure,Medium,Escalated,No,No,41,Riya
214,2023-08-02,2023-08-04,Credit Card,Phone,West,Premier,Card Blocked,Low,Open,No,No,149,Sara
215,2023-08-03,2023-08-05,Loan,Phone,North,Business,Incorrect Charges,Medium,In Progress,No,No,83,Riya
216,2023-08-04,2023-08-06,Loan,Mobile App,East,Premier,Service Failure,Medium,Resolved,No,Yes,78,Komal
217,2023-08-05,2023-08-07,Mortgage,Branch,East,Retail,Incorrect Charges,Low,Open,No,No,192,Riya
218,2023-08-06,2023-08-08,Mortgage,Branch,South,Retail,Card Blocked,High,Open,No,No,77,Amit
219,2023-08-07,2023-08-09,Savings,Branch,Central,Business,Login Issue,Low,Open,No,No,173,David
220,2023-08-08,2023-08-10,Savings,Branch,North,Business,Card Blocked,Low,Escalated,No,Yes,39,David
221,2023-08-09,2023-08-11,Credit Card,Phone,South,Premier,Login Issue,Medium,In Progress,No,No,189,Karan
222,2023-08-10,2023-08-12,Savings,Phone,West,Business,Card Blocked,Medium,In Progress,No,No,72,Amit
223,2023-08-11,2023-08-13,Loan,Branch,West,Business,Service Failure,Medium,Resolved,No,Yes,49,Komal
224,2023-08-12,2023-08-14,Mortgage,Mobile App,East,Retail,Info Mismatch,Medium,In Progress,No,No,19,Amit
225,2023-08-13,2023-08-15,Savings,Web Chat,East,Retail,Service Failure,High,In Progress,Yes,No,145,Riya
226,2023-08-14,2023-08-16,Savings,Web Chat,West,Premier,Incorrect Charges,High,Open,No,Yes,184,Amit
227,2023-08-15,2023-08-17,Credit Card,Mobile App,East,Business,Service Failure,High,Open,No,No,40,Amit
228,2023-08-16,2023-08-18,Credit Card,Branch,North,Business,Delay,Medium,Escalated,No,No,197,Komal
229,2023-08-17,2023-08-19,Loan,Phone,East,Retail,Incorrect Charges,Medium,Open,No,No,188,Riya
230,2023-08-18,2023-08-20,Mortgage,Web Chat,Central,Business,Card Blocked,Medium,Open,No,No,90,Sara
231,2023-08-19,2023-08-21,Credit Card,Email,East,Retail,Incorrect Charges,High,Open,No,No,63,Sara
232,2023-08-20,2023-08-22,Savings,Email,South,Premier,Info Mismatch,Medium,Open,Yes,No,142,David
233,2023-08-21,2023-08-23,Mortgage,Mobile App,North,Retail,Login Issue,Low,Escalated,No,Yes,110,Karan
234,2023-08-22,2023-08-24,Mortgage,Branch,South,Business,Card Blocked,Low,Open,No,No,82,Amit
235,2023-08-23,2023-08-25,Savings,Web Chat,South,Premier,Incorrect Charges,Medium,Resolved,No,No,135,David
236,2023-08-24,2023-08-26,Credit Card,Branch,Central,Retail,Card Blocked,Low,Resolved,Yes,No,78,Komal
237,2023-08-25,2023-08-27,Savings,Web Chat,North,Retail,Card Blocked,Low,Resolved,Yes,No,189,Sara
238,2023-08-26,2023-08-28,Mortgage,Mobile App,North,Premier,Card Blocked,High,Resolved,No,No,91,Amit
239,2023-08-27,2023-08-29,Insurance,Mobile App,North,Premier,Login Issue,Medium,Open,No,Yes,15,Komal
240,2023-08-28,2023-08-30,Insurance,Email,North,Retail,Service Failure,Medium,Resolved,No,No,96,Karan
241,2023-08-29,2023-08-31,Loan,Branch,North,Business,Card Blocked,High,Open,Yes,No,55,Komal
242,2023-08-30,2023-09-01,Savings,Email,Central,Retail,Delay,Low,Escalated,No,No,133,Amit
243,2023-08-31,2023-09-02,Savings,Branch,East,Premier,Info Mismatch,Low,Resolved,No,No,40,Karan
244,2023-09-01,2023-09-03,Loan,Email,South,Retail,Login Issue,Medium,In Progress,Yes,No,73,Komal
245,2023-09-02,2023-09-04,Loan,Phone,North,Premier,Incorrect Charges,Low,Resolved,Yes,No,26,Karan
246,2023-09-03,2023-09-05,Loan,Phone,East,Premier,Login Issue,High,Resolved,No,No,78,Amit
247,2023-09-04,2023-09-06,Mortgage,Phone,East,Business,Incorrect Charges,High,Open,No,No,161,Amit
